Timestamp,Username,IP,Hostname,Status,Service
2026-08-01 09:28:47,kwilliams,10.1.0.15,WIN-FS02,Success,NTLM
2026-08-01 09:30:25,svc-sql,10.1.0.15,WIN-APP03,Success,NTLM
2026-08-01 09:32:34,mgarcia,10.1.0.15,WIN-FS02,Success,NTLM
2026-08-01 09:34:23,svc-sql,10.1.0.10,WIN-APP03,Success,NTLM
2026-08-01 09:38:25,kwilliams,10.1.0.15,WIN-FS02,Success,NTLM
2026-08-01 09:39:55,jsmith,10.1.0.10,WIN-APP03,Success,NTLM
2026-08-01 09:42:58,svc-sql,10.1.0.11,WIN-APP03,Success,NTLM
2026-08-01 09:46:43,mgarcia,10.1.0.10,WIN-DC01,Success,NTLM
2026-08-01 09:50:40,administrator,10.1.0.15,WIN-FS02,Success,NTLM
2026-08-01 09:51:08,mgarcia,10.1.0.10,WIN-DC01,Success,NTLM
2026-08-01 09:54:47,kwilliams,10.1.0.11,WIN-FS02,Success,NTLM
2026-08-01 09:57:32,jsmith,10.1.0.15,WIN-DC01,Success,NTLM
2026-08-01 10:00:45,svc-sql,10.1.0.11,WIN-FS02,Success,NTLM
2026-08-01 10:02:58,jsmith,10.1.0.15,WIN-DC01,Success,NTLM
2026-08-01 10:05:33,kwilliams,10.1.0.11,WIN-FS02,Success,NTLM
2026-08-01 10:08:39,kwilliams,10.1.0.10,WIN-DC01,Success,NTLM
2026-08-01 10:09:05,mgarcia,10.1.0.11,WIN-APP03,Success,NTLM
2026-08-01 10:11:04,administrator,10.1.0.10,WIN-FS02,Success,NTLM
2026-08-01 10:14:42,kwilliams,10.1.0.15,WIN-FS02,Success,NTLM
2026-08-01 10:15:56,administrator,10.1.0.11,WIN-APP03,Success,NTLM
2026-08-01 10:18:21,mgarcia,10.1.0.10,WIN-DC01,Success,NTLM
2026-08-01 10:22:19,jsmith,10.1.0.11,WIN-DC01,Success,NTLM
2026-08-01 10:26:29,svc-sql,10.1.0.10,WIN-APP03,Success,NTLM
2026-08-01 10:30:25,kwilliams,10.1.0.15,WIN-FS02,Success,NTLM
2026-08-01 10:33:46,jsmith,10.1.0.15,WIN-APP03,Success,NTLM
2026-08-01 10:35:20,kwilliams,10.1.0.10,WIN-APP03,Success,NTLM
2026-08-01 10:38:41,mgarcia,10.1.0.11,WIN-APP03,Success,NTLM
2026-08-01 10:39:58,jsmith,10.1.0.10,WIN-DC01,Success,NTLM
2026-08-01 10:41:18,svc-sql,10.1.0.10,WIN-FS02,Success,NTLM
2026-08-01 10:43:59,administrator,10.1.0.11,WIN-FS02,Success,NTLM
2026-08-01 10:47:44,administrator,10.1.0.10,WIN-APP03,Success,NTLM
2026-08-01 10:51:50,jsmith,10.1.0.10,WIN-FS02,Success,NTLM
2026-08-01 10:53:51,svc-sql,10.1.0.15,WIN-FS02,Success,NTLM
2026-08-01 10:57:27,svc-sql,10.1.0.15,WIN-DC01,Success,NTLM
2026-08-01 10:58:19,kwilliams,10.1.0.15,WIN-DC01,Success,NTLM
2026-08-01 11:00:34,svc-sql,10.1.0.15,WIN-APP03,Success,NTLM
2026-08-01 11:02:22,mgarcia,10.1.0.15,WIN-APP03,Success,NTLM
2026-08-01 11:05:12,mgarcia,10.1.0.10,WIN-FS02,Success,NTLM
2026-08-01 11:07:40,jsmith,10.1.0.10,WIN-APP03,Success,NTLM
2026-08-01 11:08:39,kwilliams,10.1.0.10,WIN-DC01,Success,NTLM
2026-08-01 11:10:21,mgarcia,10.1.0.11,WIN-APP03,Success,NTLM
2026-08-01 11:14:30,kwilliams,10.1.0.10,WIN-FS02,Success,NTLM
2026-08-01 11:15:40,administrator,10.1.0.11,WIN-DC01,Success,NTLM
2026-08-01 11:18:40,kwilliams,10.1.0.15,WIN-APP03,Success,NTLM
2026-08-01 11:19:23,administrator,10.1.0.15,WIN-DC01,Success,NTLM
2026-08-01 11:22:14,administrator,10.1.0.10,WIN-DC01,Success,NTLM
2026-08-01 11:25:22,administrator,10.1.0.15,WIN-APP03,Success,NTLM
2026-08-01 11:27:08,administrator,10.1.0.10,WIN-DC01,Success,NTLM
2026-08-01 11:27:48,jsmith,10.1.0.15,WIN-APP03,Success,NTLM
2026-08-01 11:29:15,mgarcia,10.1.0.15,WIN-FS02,Success,NTLM
2026-08-01 11:32:13,jsmith,10.1.0.11,WIN-APP03,Success,NTLM
2026-08-01 11:34:52,kwilliams,10.1.0.15,WIN-FS02,Success,NTLM
2026-08-01 11:37:15,mgarcia,10.1.0.15,WIN-FS02,Success,NTLM
2026-08-01 11:38:51,svc-sql,10.1.0.10,WIN-APP03,Success,NTLM
2026-08-01 11:39:26,mgarcia,10.1.0.11,WIN-FS02,Success,NTLM
2026-08-01 11:47:50,administrator,198.51.100.99,WIN-DC01,Failed,NTLM
2026-08-01 11:47:54,administrator,198.51.100.99,WIN-DC01,Failed,NTLM
2026-08-01 11:47:56,administrator,198.51.100.99,WIN-DC01,Failed,NTLM
2026-08-01 11:47:59,administrator,198.51.100.99,WIN-DC01,Failed,NTLM
2026-08-01 11:48:04,administrator,198.51.100.99,WIN-DC01,Failed,NTLM
2026-08-01 11:48:06,administrator,198.51.100.99,WIN-DC01,Failed,NTLM
2026-08-01 11:48:09,administrator,198.51.100.99,WIN-DC01,Failed,NTLM
2026-08-01 11:48:12,administrator,198.51.100.99,WIN-DC01,Failed,NTLM
2026-08-01 11:48:15,administrator,198.51.100.99,WIN-DC01,Failed,NTLM
2026-08-01 11:48:19,administrator,198.51.100.99,WIN-DC01,Failed,NTLM
2026-08-01 11:48:21,administrator,198.51.100.99,WIN-DC01,Failed,NTLM
2026-08-01 11:48:24,administrator,198.51.100.99,WIN-DC01,Failed,NTLM
2026-08-01 11:48:29,administrator,198.51.100.99,WIN-DC01,Failed,NTLM
2026-08-01 11:48:34,administrator,198.51.100.99,WIN-DC01,Failed,NTLM
2026-08-01 11:48:35,administrator,198.51.100.99,WIN-DC01,Failed,NTLM
2026-08-01 11:48:38,administrator,198.51.100.99,WIN-DC01,Failed,NTLM
2026-08-01 11:48:40,administrator,198.51.100.99,WIN-DC01,Failed,NTLM
2026-08-01 11:48:44,administrator,198.51.100.99,WIN-DC01,Failed,NTLM
2026-08-01 11:48:45,administrator,198.51.100.99,WIN-DC01,Failed,NTLM
2026-08-01 11:48:48,administrator,198.51.100.99,WIN-DC01,Failed,NTLM
2026-08-01 11:48:52,administrator,198.51.100.99,WIN-DC01,Failed,NTLM
2026-08-01 11:48:54,administrator,198.51.100.99,WIN-DC01,Failed,NTLM
2026-08-01 11:48:56,administrator,198.51.100.99,WIN-DC01,Failed,NTLM
2026-08-01 11:48:57,administrator,198.51.100.99,WIN-DC01,Failed,NTLM
2026-08-01 11:48:58,administrator,198.51.100.99,WIN-DC01,Failed,NTLM
2026-08-01 11:49:00,administrator,198.51.100.99,WIN-DC01,Success,NTLM
2026-08-01 11:57:24,administrator,45.33.32.156,WIN-DC01,Failed,NTLM
2026-08-01 11:57:29,guest,45.33.32.156,WIN-DC01,Failed,NTLM
2026-08-01 11:57:35,admin,45.33.32.156,WIN-DC01,Failed,NTLM
2026-08-01 11:57:40,sqladmin,45.33.32.156,WIN-DC01,Failed,NTLM
2026-08-01 11:57:43,backupadmin,45.33.32.156,WIN-DC01,Failed,NTLM
2026-08-01 11:57:46,operator,45.33.32.156,WIN-DC01,Failed,NTLM
2026-08-01 12:06:16,svc-sql,203.0.113.150,WIN-APP03,Failed,NTLM
2026-08-01 12:06:30,svc-sql,203.0.113.151,WIN-APP03,Failed,NTLM
2026-08-01 12:06:40,svc-sql,203.0.113.152,WIN-APP03,Failed,NTLM
2026-08-01 12:06:48,svc-sql,203.0.113.153,WIN-APP03,Failed,NTLM
2026-08-01 12:06:55,svc-sql,203.0.113.154,WIN-APP03,Failed,NTLM
2026-08-01 12:07:07,svc-sql,203.0.113.155,WIN-APP03,Failed,NTLM
